effective_date,reference,team,cluster_key,name,major_city,fe550,fe550d,bend_extra,dia8_project,dia8_retail,dia10_project,dia10_retail,note
2026-04-03,JODL/ TMT / Apr/ 2026-27/M1,North,CHANDIGARH,Chandigarh,Chandigarh,59900.0,60900.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-04-03,JODL/ TMT / Apr/ 2026-27/M1,North,DELHI,Delhi (New Delhi),New Delhi,59650.0,60650.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-04-03,JODL/ TMT / Apr/ 2026-27/M1,North,HARYANA,Haryana (Faridabad),Faridabad,59650.0,60650.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-04-03,JODL/ TMT / Apr/ 2026-27/M1,North,HIMACHAL_PRADESH,Himachal Pradesh (Shimla),Shimla,60150.0,61650.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-04-03,JODL/ TMT / Apr/ 2026-27/M1,North,JAMMU,Jammu,Jammu,61150.0,62650.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-04-03,JODL/ TMT / Apr/ 2026-27/M1,North,PUNJAB,Punjab (Ludhiana),Ludhiana,60150.0,61150.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-04-03,JODL/ TMT / Apr/ 2026-27/M1,North,RAJASTHAN,Rajasthan (Jaipur),Jaipur,59650.0,60650.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-04-03,JODL/ TMT / Apr/ 2026-27/M1,North,SRINAGAR,Kashmir (Srinagar),Srinagar,61650.0,63150.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-04-03,JODL/ TMT / Apr/ 2026-27/M1,North,UTTARAKHAND,Uttarakhand (Dehradun),Dehradun,59650.0,61150.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-04-03,JODL/ TMT / Apr/ 2026-27/M1,North,UTTAR_PRADESH,Uttar Pradesh (Ghaziabad/Kanpur),Ghaziabad,59650.0,60650.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-04-09,JODL/ TMT / Apr/ 2026-27/M2,North,CHANDIGARH,Chandigarh,Chandigarh,59900.0,60900.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-04-09,JODL/ TMT / Apr/ 2026-27/M2,North,DELHI,Delhi (New Delhi),New Delhi,59650.0,60650.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-04-09,JODL/ TMT / Apr/ 2026-27/M2,North,HARYANA,Haryana (Faridabad),Faridabad,59650.0,60650.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-04-09,JODL/ TMT / Apr/ 2026-27/M2,North,HIMACHAL_PRADESH,Himachal Pradesh (Shimla),Shimla,60150.0,61650.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-04-09,JODL/ TMT / Apr/ 2026-27/M2,North,JAMMU,Jammu,Jammu,61150.0,62650.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-04-09,JODL/ TMT / Apr/ 2026-27/M2,North,PUNJAB,Punjab (Ludhiana),Ludhiana,60150.0,61150.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-04-09,JODL/ TMT / Apr/ 2026-27/M2,North,RAJASTHAN,Rajasthan (Jaipur),Jaipur,59650.0,60650.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-04-09,JODL/ TMT / Apr/ 2026-27/M2,North,SRINAGAR,Kashmir (Srinagar),Srinagar,61650.0,63150.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-04-09,JODL/ TMT / Apr/ 2026-27/M2,North,UTTARAKHAND,Uttarakhand (Dehradun),Dehradun,59650.0,61150.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-04-09,JODL/ TMT / Apr/ 2026-27/M2,North,UTTAR_PRADESH,Uttar Pradesh (Ghaziabad/Kanpur),Ghaziabad,59650.0,60650.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-01,JODL/ TMT / May/ 2026-27/M1,North,CHANDIGARH,Chandigarh,Chandigarh,58650.0,59650.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-01,JODL/ TMT / May/ 2026-27/M1,North,DELHI,Delhi (New Delhi),New Delhi,58400.0,59400.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-01,JODL/ TMT / May/ 2026-27/M1,North,HARYANA,Haryana (Faridabad),Faridabad,58400.0,59400.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-01,JODL/ TMT / May/ 2026-27/M1,North,HIMACHAL_PRADESH,Himachal Pradesh (Shimla),Shimla,58900.0,60400.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-01,JODL/ TMT / May/ 2026-27/M1,North,JAMMU,Jammu,Jammu,59900.0,61400.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-01,JODL/ TMT / May/ 2026-27/M1,North,PUNJAB,Punjab (Ludhiana),Ludhiana,58900.0,59900.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-01,JODL/ TMT / May/ 2026-27/M1,North,RAJASTHAN,Rajasthan (Jaipur),Jaipur,58400.0,59400.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-01,JODL/ TMT / May/ 2026-27/M1,North,SRINAGAR,Kashmir (Srinagar),Srinagar,60400.0,61900.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-01,JODL/ TMT / May/ 2026-27/M1,North,UTTARAKHAND,Uttarakhand (Dehradun),Dehradun,58400.0,59900.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-01,JODL/ TMT / May/ 2026-27/M1,North,UTTAR_PRADESH,Uttar Pradesh (Ghaziabad/Kanpur),Ghaziabad,58400.0,59400.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-11,JODL/ TMT / May/ 2026-27/M2,North,CHANDIGARH,Chandigarh,Chandigarh,57650.0,58650.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-11,JODL/ TMT / May/ 2026-27/M2,North,DELHI,Delhi (New Delhi),New Delhi,57400.0,58400.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-11,JODL/ TMT / May/ 2026-27/M2,North,HARYANA,Haryana (Faridabad),Faridabad,57400.0,58400.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-11,JODL/ TMT / May/ 2026-27/M2,North,HIMACHAL_PRADESH,Himachal Pradesh (Shimla),Shimla,57900.0,59400.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-11,JODL/ TMT / May/ 2026-27/M2,North,JAMMU,Jammu,Jammu,58900.0,60400.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-11,JODL/ TMT / May/ 2026-27/M2,North,PUNJAB,Punjab (Ludhiana),Ludhiana,57900.0,58900.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-11,JODL/ TMT / May/ 2026-27/M2,North,RAJASTHAN,Rajasthan (Jaipur),Jaipur,57400.0,58400.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-11,JODL/ TMT / May/ 2026-27/M2,North,SRINAGAR,Kashmir (Srinagar),Srinagar,59400.0,60900.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-11,JODL/ TMT / May/ 2026-27/M2,North,UTTARAKHAND,Uttarakhand (Dehradun),Dehradun,57400.0,58900.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-11,JODL/ TMT / May/ 2026-27/M2,North,UTTAR_PRADESH,Uttar Pradesh (Ghaziabad/Kanpur),Ghaziabad,57400.0,58400.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-16,JODL/ TMT / May/ 2026-27/M3,North,CHANDIGARH,Chandigarh,Chandigarh,57250.0,58250.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-16,JODL/ TMT / May/ 2026-27/M3,North,DELHI,Delhi (New Delhi),New Delhi,57000.0,58000.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-16,JODL/ TMT / May/ 2026-27/M3,North,HARYANA,Haryana (Faridabad),Faridabad,57000.0,58000.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-16,JODL/ TMT / May/ 2026-27/M3,North,HIMACHAL_PRADESH,Himachal Pradesh (Shimla),Shimla,57500.0,59000.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-16,JODL/ TMT / May/ 2026-27/M3,North,JAMMU,Jammu,Jammu,58500.0,60000.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-16,JODL/ TMT / May/ 2026-27/M3,North,PUNJAB,Punjab (Ludhiana),Ludhiana,57500.0,58500.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-16,JODL/ TMT / May/ 2026-27/M3,North,RAJASTHAN,Rajasthan (Jaipur),Jaipur,57000.0,58000.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-16,JODL/ TMT / May/ 2026-27/M3,North,SRINAGAR,Kashmir (Srinagar),Srinagar,59000.0,60500.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-16,JODL/ TMT / May/ 2026-27/M3,North,UTTARAKHAND,Uttarakhand (Dehradun),Dehradun,57000.0,58500.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-16,JODL/ TMT / May/ 2026-27/M3,North,UTTAR_PRADESH,Uttar Pradesh (Ghaziabad/Kanpur),Ghaziabad,57000.0,58000.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-22,JODL/ TMT / May/ 2026-27/M4,North,CHANDIGARH,Chandigarh,Chandigarh,56750.0,57750.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-22,JODL/ TMT / May/ 2026-27/M4,North,DELHI,Delhi (New Delhi),New Delhi,56500.0,57500.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-22,JODL/ TMT / May/ 2026-27/M4,North,HARYANA,Haryana (Faridabad),Faridabad,56500.0,57500.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-22,JODL/ TMT / May/ 2026-27/M4,North,HIMACHAL_PRADESH,Himachal Pradesh (Shimla),Shimla,57000.0,58500.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-22,JODL/ TMT / May/ 2026-27/M4,North,JAMMU,Jammu,Jammu,58000.0,59500.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-22,JODL/ TMT / May/ 2026-27/M4,North,PUNJAB,Punjab (Ludhiana),Ludhiana,57000.0,58000.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-22,JODL/ TMT / May/ 2026-27/M4,North,RAJASTHAN,Rajasthan (Jaipur),Jaipur,56500.0,57500.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-22,JODL/ TMT / May/ 2026-27/M4,North,SRINAGAR,Kashmir (Srinagar),Srinagar,58500.0,60000.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-22,JODL/ TMT / May/ 2026-27/M4,North,UTTARAKHAND,Uttarakhand (Dehradun),Dehradun,56500.0,58000.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-05-22,JODL/ TMT / May/ 2026-27/M4,North,UTTAR_PRADESH,Uttar Pradesh (Ghaziabad/Kanpur),Ghaziabad,56500.0,57500.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT.
2026-06-01,JODL/ TMT / Jun/ 2026-27/M1,North,CHANDIGARH,Chandigarh,Chandigarh,55250.0,56250.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT and Early commitment rebate of Rs 500 PMT on orders from 1st June'26 to 4th June'26.
2026-06-01,JODL/ TMT / Jun/ 2026-27/M1,North,DELHI,Delhi (New Delhi),New Delhi,55000.0,56000.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT and Early commitment rebate of Rs 500 PMT on orders from 1st June'26 to 4th June'26.
2026-06-01,JODL/ TMT / Jun/ 2026-27/M1,North,HARYANA,Haryana (Faridabad),Faridabad,55000.0,56000.0,600.0,2500.0,3500.0,1000.0,2250.0,Bend extra Rs 600/MT and Early commitment rebate of Rs 500 PMT on orders from 1st June'26 to 4th June'26.
